or_code;or_siren;or_nom;or_type;or_activ;or_l331;or_siret;or_nometab;or_ad_code;or_nomvoie;or_numero;or_rep;or_local;or_postal;or_commune;or_telfixe;or_mail;or_comment;or_creadat;or_majdate;or_majsrc;or_abddate;or_abdsrc
OR900000000000;380129866;ORANGE;SA à conseil d'administration;Télécommunications filaires (6110Z);FRTE;38012986646850;;;RUE OLIVIER DE SERRES;78;;;75505;PARIS CEDEX 15 ;;;;2015-05-26 00:00:00;2015-06-02 00:00:00;;;
OR900000000001;;CADaGEO;;;;;;;;;;;;;;;;2015-05-26 00:00:00;;;;
OR900000000002;;SMO;;;;;;;;;;;;;;;;2015-05-26 00:00:00;;;;
OR900000000003;444608442;ERDF;SA à directoire;Distribution d'électricité (3513Z);;44460844213631;;;PLACE DES COROLLES;34;;TOUR ERDF;92400;COURBEVOIE;;;;2015-05-26 00:00:00;2015-06-02 00:00:00;;;
OR900000000004;;ALCATEL;;;;;;;;;;;;;;;;2015-06-02 00:00:00;;;;
OR900000000005;;COMMUNE;;;;;;;;;;;;;;;;2015-06-02 00:00:00;2015-06-06 00:00:00;;;
OR000000000004;;SFR;;;SFR0;34305956400793;;;SQUARE BELA BARTOK;1;;;75015;PARIS;;;Société française du radiotéléphone;2015-06-03 00:00:00;;;;
OR000000000005;;FREE;;;FREE;42193886100034;;;RUE DE LA VILLE L'EVÊQUE;8;;;75008;PARIS;;;;2015-06-03 00:00:00;;;;
